COG,KO,COG2,COG3,COG4,func,name
COG0001,K20567,,,NA,H,Glutamate-1-semialdehyde aminotransferase
COG0001,K01845,,,NA,H,Glutamate-1-semialdehyde aminotransferase
COG0001,K20596,,,NA,H,Glutamate-1-semialdehyde aminotransferase
COG0001,K20585,,,NA,H,Glutamate-1-semialdehyde aminotransferase
COG0001,K20568,,,NA,H,Glutamate-1-semialdehyde aminotransferase
COG0001,K20597,,,NA,H,Glutamate-1-semialdehyde aminotransferase
COG0002,K05829,,,NA,E,N-acetyl-gamma-glutamylphosphate reductase
COG0002,K00145,,,NA,E,N-acetyl-gamma-glutamylphosphate reductase
COG0003,K01551,,,NA,P,Anion-transporting ATPase, ArsA/GET3 family
COG0004,K03320,,,NA,P,Ammonia channel protein AmtB
COG0005,K19696,,,NA,F,Purine nucleoside phosphorylase
COG0005,K00772,,,NA,F,Purine nucleoside phosphorylase
COG0005,K03783,,,NA,F,Purine nucleoside phosphorylase
COG0005,K03815,,,NA,F,Purine nucleoside phosphorylase
COG0006,K15783,,,NA,E,Xaa-Pro aminopeptidase
COG0006,K01271,,,NA,E,Xaa-Pro aminopeptidase
COG0006,K08326,,,NA,E,Xaa-Pro aminopeptidase
COG0006,K18573,,,NA,E,Xaa-Pro aminopeptidase
COG0006,K01262,,,NA,E,Xaa-Pro aminopeptidase
COG0007,K02303,,,NA,H,Uroporphyrinogen-III methylase (siroheme synthase)
COG0008,K01886,,,NA,J,Glutamyl- or glutaminyl-tRNA synthetase
COG0008,K09698,,,NA,J,Glutamyl- or glutaminyl-tRNA synthetase
COG0008,K01885,,,NA,J,Glutamyl- or glutaminyl-tRNA synthetase
COG0009,K07566,,,NA,J,tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC
COG0010,K19723,,,NA,E,Arginase family enzyme
COG0010,K01476,,,NA,E,Arginase family enzyme
COG0010,K01480,,,NA,E,Arginase family enzyme
COG0010,K18459,,,NA,E,Arginase family enzyme
COG0010,K12255,,,NA,E,Arginase family enzyme
COG0012,K06942,,,NA,J,Ribosome-binding ATPase YchF, GTP1/OBG family
COG0012,K19788,,,NA,J,Ribosome-binding ATPase YchF, GTP1/OBG family
COG0013,K01872,,,NA,J,Alanyl-tRNA synthetase
COG0014,K00147,,,NA,E,Gamma-glutamyl phosphate reductase
COG0015,K22004,,,NA,F,Adenylosuccinate lyase
COG0015,K01857,,,NA,F,Adenylosuccinate lyase
COG0015,K01756,,,NA,F,Adenylosuccinate lyase
COG0016,K01889,,,NA,J,Phenylalanyl-tRNA synthetase alpha subunit
COG0017,K01893,,,NA,J,Aspartyl/asparaginyl-tRNA synthetase
COG0017,K22503,,,NA,J,Aspartyl/asparaginyl-tRNA synthetase
COG0017,K09759,,,NA,J,Aspartyl/asparaginyl-tRNA synthetase
COG0018,K01887,,,NA,J,Arginyl-tRNA synthetase
COG0019,K01586,,,NA,E,Diaminopimelate decarboxylase
COG0019,K13747,,,NA,E,Diaminopimelate decarboxylase
COG0020,K12503,,,NA,I,Undecaprenyl pyrophosphate synthase
COG0020,K21273,,,NA,I,Undecaprenyl pyrophosphate synthase
COG0020,K14215,,,NA,I,Undecaprenyl pyrophosphate synthase
COG0020,K19177,,,NA,I,Undecaprenyl pyrophosphate synthase
COG0020,K11778,,,NA,I,Undecaprenyl pyrophosphate synthase
COG0020,K00806,,,NA,I,Undecaprenyl pyrophosphate synthase
COG0021,K00615,,,NA,G,Transketolase
COG0022,K00167,,,NA,C,Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component
COG0022,K21417,,,NA,C,Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component
COG0022,K00162,,,NA,C,Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component
COG0023,K03113,,,NA,J,Translation initiation factor 1 (eIF-1/SUI1)
COG0024,K01265,,,NA,J,Methionine aminopeptidase
COG0024,K14813,,,NA,J,Methionine aminopeptidase
COG0025,K03316,,,NA,P,NhaP-type Na+/H+ or K+/H+ antiporter
COG0026,K01589,,,NA,F,Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
COG0027,K08289,,,NA,F,Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
COG0028,K01577,,,NA,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0028,K01608,,,NA,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
